Data;Taxa de câmbio - R$ / US$ - comercial - venda - média - R$ - Banco Central do Brasil, Boletim, Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERV12;
1976.11;4,31818181818182E-12;
1976.12;4,42181818181818E-12;
1977.01;4,53163636363636E-12;
1977.02;4,61781818181818E-12;
1977.03;4,72836363636364E-12;
1977.04;4,85381818181818E-12;
1977.05;4,98109090909091E-12;
1977.06;5,10909090909091E-12;
1977.07;5,24363636363636E-12;
1977.08;5,34181818181818E-12;
1977.09;5,42909090909091E-12;
1977.10;5,50581818181818E-12;
1977.11;5,60654545454545E-12;
1977.12;5,77054545454545E-12;
1978.01;5,85963636363636E-12;
1978.02;5,94872727272727E-12;
1978.03;6,06981818181818E-12;
1978.04;6,18036363636364E-12;
1978.05;6,33381818181818E-12;
1978.06;6,47454545454545E-12;
1978.07;6,58909090909091E-12;
1978.08;6,76327272727273E-12;
1978.09;6,92727272727273E-12;
1978.10;7,03236363636364E-12;
1978.11;7,20909090909091E-12;
1978.12;7,46181818181818E-12;
1979.01;7,71854545454545E-12;
1979.02;7,97927272727273E-12;
1979.03;8,23563636363636E-12;
1979.04;8,512E-12;
1979.05;8,94036363636364E-12;
1979.06;9,32909090909091E-12;
1979.07;9,49636363636364E-12;
1979.08;9,81454545454545E-12;
1979.09;1,04698181818182E-11;
1979.10;1,09665454545455E-11;
1979.11;1,14730909090909E-11;
1979.12;1,46443636363636E-11;
1980.01;1,58701818181818E-11;
1980.02;1,63134545454545E-11;
1980.03;1,69149090909091E-11;
1980.04;1,75723636363636E-11;
1980.05;1,81054545454545E-11;
1980.06;1,86770909090909E-11;
1980.07;1,92170909090909E-11;
1980.08;1,98709090909091E-11;
1980.09;2,05847272727273E-11;
1980.10;2,13756363636364E-11;
1980.11;2,22985454545455E-11;
1980.12;2,32258181818182E-11;
1981.01;2,45530909090909E-11;
1981.02;2,56403636363636E-11;
1981.03;2,70443636363636E-11;
1981.04;2,87138181818182E-11;
1981.05;3,056E-11;
1981.06;3,22447272727273E-11;
1981.07;3,41672727272727E-11;
1981.08;3,63349090909091E-11;
1981.09;3,82850909090909E-11;
1981.10;4,05334545454545E-11;
1981.11;4,28927272727273E-11;
1981.12;4,53930909090909E-11;
1982.01;4,77127272727273E-11;
1982.02;4,99927272727273E-11;
1982.03;5,26970909090909E-11;
1982.04;5,53556363636364E-11;
1982.05;5,81745454545454E-11;
1982.06;6,12127272727273E-11;
1982.07;6,46381818181818E-11;
1982.08;6,87658181818182E-11;
1982.09;7,34865454545455E-11;
1982.10;7,84327272727273E-11;
1982.11;8,36203636363636E-11;
1982.12;8,92458181818182E-11;
1983.01;9,57076363636364E-11;
1983.02;1,14740363636364E-10;
1983.03;1,45658181818182E-10;
1983.04;1,58277454545455E-10;
1983.05;1,72593454545455E-10;
1983.06;1,88282909090909E-10;
1983.07;2,07405090909091E-10;
1983.08;2,33941818181818E-10;
1983.09;2,55047636363636E-10;
1983.10;2,85563636363636E-10;
1983.11;3,16745454545455E-10;
1983.12;3,44049454545455E-10;
1984.01;3,71289090909091E-10;
1984.02;4,11186181818182E-10;
1984.03;4,61890909090909E-10;
1984.04;5,04650545454545E-10;
1984.05;5,49355272727273E-10;
1984.06;5,98090909090909E-10;
1984.07;6,60363636363636E-10;
1984.08;7,25201454545455E-10;
1984.09;8,01435272727273E-10;
1984.10;8,92281090909091E-10;
1984.11;9,94363636363636E-10;
1984.12;1,09401818181818E-09;
1985.01;1,22320654545455E-09;
1985.02;1,36876763636364E-09;
1985.03;1,51286581818182E-09;
1985.04;1,71559818181818E-09;
1985.05;1,90413236363636E-09;
1985.06;2,08803818181818E-09;
1985.07;2,26181818181818E-09;
1985.08;2,440496E-09;
1985.09;2,71333345454545E-09;
1985.10;2,97691709090909E-09;
1985.11;3,24672727272727E-09;
1985.12;3,60436363636364E-09;
1986.01;4,11272727272727E-09;
1986.02;4,73781818181818E-09;
1986.03;5,03272727272727E-09;
1986.04;5,03272727272727E-09;
1986.05;5,03272727272727E-09;
1986.06;5,03272727272727E-09;
1986.07;5,03272727272727E-09;
1986.08;5,03272727272727E-09;
1986.09;5,03272727272727E-09;
1986.10;5,08E-09;
1986.11;5,12981818181818E-09;
1986.12;5,28945454545455E-09;
1987.01;5,70836363636364E-09;
1987.02;6,59490909090909E-09;
1987.03;7,63854545454545E-09;
1987.04;8,62072727272727E-09;
1987.05;1,11934545454545E-08;
1987.06;1,43418181818182E-08;
1987.07;1,63396363636364E-08;
1987.08;1,71381818181818E-08;
1987.09;1,81330909090909E-08;
1987.10;1,94207272727273E-08;
1987.11;2,15596363636364E-08;
1987.12;2,45385454545455E-08;
1988.01;2,82381818181818E-08;
1988.02;3,30330909090909E-08;
1988.03;3,89592727272727E-08;
1988.04;4,5704E-08;
1988.05;5,47774545454546E-08;
1988.06;6,48374545454545E-08;
1988.07;7,84821818181818E-08;
1988.08;9,72385454545455E-08;
1988.09;1,18630909090909E-07;
1988.10;1,49708E-07;
1988.11;1,91328363636364E-07;
1988.12;2,44011636363636E-07;
1989.01;3,28363636363636E-07;
1989.02;3,63636363636364E-07;
1989.03;3,63636363636364E-07;
1989.04;3,69090909090909E-07;
1989.05;3,99636363636364E-07;
1989.06;4,86181818181818E-07;
1989.07;6,96E-07;
1989.08;9E-07;
1989.09;1,188E-06;
1989.10;1,63272727272727E-06;
1989.11;2,272E-06;
1989.12;3,36690909090909E-06;
